,playerid,fname,lname,position,height,weight,birthday,country,school,draft_year,fullname,API_Names
255,203999,Nikola,Jokic,Center,6-11,284,1995-02-19,Serbia,Mega Basket,2014,Nikola Jokic,Nikola Jokić
256,1630637,Carlik,Jones,Guard,6-0,174,1997-12-23,USA,Louisville,2021,Carlik Jones,Colby Jones
257,1627745,Damian,Jones,Center,6-11,245,1995-06-30,USA,Vanderbilt,2016,Damian Jones,Damian Jones
258,1630529,Herbert,Jones,Forward,6-7,206,1998-10-06,USA,Alabama,2021,Herbert Jones,Herbert Jones
259,1630539,Kai,Jones,Center-Forward,6-11,221,2001-01-19,Bahamas,Texas,2021,Kai Jones,Damian Jones
260,1630200,Tre,Jones,Guard,6-1,185,2000-01-08,USA,Duke,2020,Tre Jones,Tre Jones
261,1626145,Tyus,Jones,Guard,6-2,196,1996-05-10,USA,Duke,2015,Tyus Jones,Tyus Jones
262,1627884,Derrick,Jones Jr.,Forward,6-6,210,1997-02-15,USA,UNLV,2016,Derrick Jones Jr.,Derrick Jones Jr.
263,201599,DeAndre,Jordan,Center,6-11,265,1988-07-21,USA,Texas A&M,2008,DeAndre Jordan,DeAndre Jordan
264,202709,Cory,Joseph,Guard,6-3,200,1991-08-20,Canada,Texas,2011,Cory Joseph,Cory Joseph
265,1631107,Nikola,Jovic,Forward,6-10,205,2003-06-09,Serbia,Mega Basket,2022,Nikola Jovic,Nikola Jović
266,1630548,Johnny,Juzang,Guard,6-6,209,2001-03-17,USA,UCLA,2022,Johnny Juzang,Johnny Davis
270,1628379,Luke,Kennard,Guard,6-5,206,1996-06-24,USA,Duke,2017,Luke Kennard,Luke Kennard
271,1631117,Walker,Kessler,Center,7-0,245,2001-07-26,USA,Auburn,2022,Walker Kessler,Walker Kessler
272,1630296,Braxton,Key,Forward,6-8,225,1997-02-14,USA,Virginia,2021,Braxton Key,Braxton Key
274,1630557,Corey,Kispert,Forward,6-6,224,1999-03-03,USA,Gonzaga,2021,Corey Kispert,Corey Kispert
275,1628467,Maxi,Kleber,Forward,6-10,240,1992-01-29,Germany,Bayern Munich,2017,Maxi Kleber,Maxi Kleber
276,1630233,Nathan,Knight,Forward-Center,6-8,253,1997-09-20,USA,William & Mary,2020,Nathan Knight,Jonathan Kuminga
277,1628995,Kevin,Knox II,Forward,6-7,215,1999-08-11,USA,Kentucky,2018,Kevin Knox II,Kevin Knox
278,1631132,Christian,Koloko,Center,7-0,230,2000-06-20,Cameroon,Arizona,2022,Christian Koloko,Christian Wood
279,1629723,John,Konchar,Guard,6-5,210,1996-03-22,USA,Indiana-Purdue Fort Wayne,2019,John Konchar,John Konchar
280,1627788,Furkan,Korkmaz,Guard-Forward,6-7,202,1997-07-24,Turkey,Anadolu Efes,2016,Furkan Korkmaz,Furkan Korkmaz
281,1628436,Luke,Kornet,Center-Forward,7-2,250,1995-07-15,USA,Vanderbilt,2017,Luke Kornet,Luke Kornet
283,1630228,Jonathan,Kuminga,Forward,6-7,225,2002-10-06,DRC,NBA G League Ignite,2021,Jonathan Kuminga,Jonathan Kuminga
284,1628398,Kyle,Kuzma,Forward,6-9,221,1995-07-24,USA,Utah,2017,Kyle Kuzma,Kyle Kuzma
285,1631222,Jake,LaRavia,Forward,6-7,235,2001-11-03,USA,Wake Forest,2022,Jake LaRavia,Jake LaRavia
286,203897,Zach,LaVine,Guard,6-5,200,1995-03-10,USA,UCLA,2014,Zach LaVine,Zach LaVine
287,1630237,Anthony,Lamb,Forward,6-6,227,1998-01-20,USA,Vermont,2020,Anthony Lamb,Anthony Davis
288,1629111,Jock,Landale,Center,6-11,255,1995-10-25,Australia,St. Mary's,2021,Jock Landale,Jock Landale
290,1630639,A.J.,Lawson,Guard,6-6,179,2000-07-15,Canada,South Carolina,2022,A.J. Lawson,P.J. Washington
291,1627747,Caris,LeVert,Guard,6-6,205,1994-08-25,USA,Michigan,2016,Caris LeVert,Caris LeVert
292,1627814,Damion,Lee,Guard-Forward,6-5,210,1992-10-21,USA,Drexel,2017,Damion Lee,Draymond Green
293,1630240,Saben,Lee,Guard,6-2,183,1999-06-23,USA,Vanderbilt,2020,Saben Lee,Saben Lee
294,203458,Alex,Len,Center,7-2,250,1993-06-16,Ukraine,Maryland,2013,Alex Len,Alex Len
295,202695,Kawhi,Leonard,Forward,6-7,225,1991-06-29,USA,San Diego State,2011,Kawhi Leonard,Kawhi Leonard
297,1630184,Kira,Lewis Jr.,Guard,6-1,170,2001-04-06,USA,Alabama,2020,Kira Lewis Jr.,Kira Lewis Jr.
298,1630604,E.J.,Liddell,Forward,6-6,240,2000-12-18,USA,Ohio State,2022,E.J. Liddell,E.J. Liddell
299,203081,Damian,Lillard,Guard,6-2,195,1990-07-15,USA,Weber State,2012,Damian Lillard,Damian Lillard
300,1629642,Nassir,Little,Forward-Guard,6-5,220,2000-02-11,USA,North Carolina,2019,Nassir Little,Nassir Little
301,1630587,Isaiah,Livers,Forward,6-6,232,1998-07-28,USA,Michigan,2021,Isaiah Livers,Isaiah Livers
302,1631254,Kenneth,Lofton Jr.,Forward,6-6,275,2002-08-14,USA,Louisiana Tech,2022,Kenneth Lofton Jr.,Kenneth Lofton Jr.
303,1626172,Kevon,Looney,Forward,6-9,222,1996-02-06,USA,UCLA,2015,Kevon Looney,Kevon Looney
304,201572,Brook,Lopez,Center,7-1,282,1988-04-01,USA,Stanford,2008,Brook Lopez,Brook Lopez
305,201577,Robin,Lopez,Center,7-0,281,1988-04-01,USA,Stanford,2008,Robin Lopez,Robin Lopez
306,201567,Kevin,Love,Forward-Center,6-8,251,1988-09-07,USA,UCLA,2008,Kevin Love,Kevin Love
307,200768,Kyle,Lowry,Guard,6-0,196,1986-03-25,USA,Villanova,2006,Kyle Lowry,Kyle Lowry
308,1626168,Trey,Lyles,Forward,6-9,234,1995-11-05,Canada,Kentucky,2015,Trey Lyles,Tre Jones
309,1630177,Theo,Maledon,Guard,6-5,175,2001-06-12,France,Asvel,2020,Theo Maledon,Théo Maledon
310,1630572,Sandro,Mamukelashvili,Forward-Center,6-10,240,1999-05-23,Georgia,Seton Hall,2021,Sandro Mamukelashvili,Sandro Mamukelashvili
311,1629611,Terance,Mann,Guard-Forward,6-5,215,1996-10-18,USA,Florida State,2019,Terance Mann,Terance Mann
312,1630544,Tre,Mann,Guard,6-3,178,2001-02-03,USA,Florida,2021,Tre Mann,Tre Mann
314,1628374,Lauri,Markkanen,Forward-Center,7-0,240,1997-05-22,Finland,Arizona,2017,Lauri Markkanen,Lauri Markkanen
315,1630230,Naji,Marshall,Forward,6-7,220,1998-01-24,USA,Xavier,2020,Naji Marshall,Naji Marshall
316,1628997,Caleb,Martin,Forward,6-5,205,1995-09-28,USA,Nevada,2019,Caleb Martin,Caleb Martin
317,1628998,Cody,Martin,Forward,6-6,205,1995-09-28,USA,Nevada,2019,Cody Martin,KJ Martin
318,1631213,Tyrese,Martin,Guard,6-6,215,1999-03-07,USA,Connecticut,2022,Tyrese Martin,Tyrese Haliburton
319,1630231,Kenyon,Martin Jr.,Forward,6-7,215,2001-01-06,USA,IMG Academy (FL),2020,Kenyon Martin Jr.,KJ Martin
320,1629726,Garrison,Mathews,Guard,6-6,215,1996-10-24,USA,Lipscomb,2019,Garrison Mathews,Garrison Mathews
321,1631097,Bennedict,Mathurin,Guard-Forward,6-5,210,2002-06-19,Canada,Arizona,2022,Bennedict Mathurin,Bennedict Mathurin
322,202083,Wesley,Matthews,Guard,6-5,220,1986-10-14,USA,Marquette,2009,Wesley Matthews,Wesley Matthews
323,1630178,Tyrese,Maxey,Guard,6-2,200,2000-11-04,USA,Kentucky,2020,Tyrese Maxey,Tyrese Maxey
324,1630219,Skylar,Mays,Guard,6-4,205,1997-09-05,USA,Louisiana State,2020,Skylar Mays,Skylar Mays
325,1630540,Miles,McBride,Guard,6-2,195,2000-09-08,USA,West Virginia,2021,Miles McBride,Miles McBride
327,203468,CJ,McCollum,Guard,6-3,190,1991-09-19,USA,Lehigh,2013,CJ McCollum,CJ McCollum
328,204456,T.J.,McConnell,Guard,6-1,190,1992-03-25,USA,Arizona,2015,T.J. McConnell,T.J. McConnell
329,1630183,Jaden,McDaniels,Forward,6-9,185,2000-09-29,USA,Washington,2020,Jaden McDaniels,Jaden McDaniels
330,1629667,Jalen,McDaniels,Forward-Center,6-9,205,1998-01-31,USA,San Diego State,2019,Jalen McDaniels,Jalen McDaniels
331,203926,Doug,McDermott,Forward,6-6,225,1992-01-03,USA,Creighton,2014,Doug McDermott,Doug McDermott
332,201580,JaVale,McGee,Center-Forward,7-0,270,1988-01-19,USA,Nevada,2008,JaVale McGee,JaVale McGee
333,1631121,Bryce,McGowens,Guard,6-6,175,2002-11-08,USA,Nebraska,2022,Bryce McGowens,Bryce McGowens
335,1629162,Jordan,McLaughlin,Guard,6-0,185,1996-04-09,USA,Southern California,2019,Jordan McLaughlin,Jordan McLaughlin
336,1629001,De'Anthony,Melton,Guard,6-2,200,1998-05-28,USA,Southern California,2018,De'Anthony Melton,De'Anthony Melton
337,1630241,Sam,Merrill,Guard,6-4,205,1996-05-15,USA,Utah State,2020,Sam Merrill,Sam Merrill
338,1629002,Chimezie,Metu,Forward-Center,6-9,225,1997-03-22,USA,Southern California,2018,Chimezie Metu,Chimezie Metu
339,203114,Khris,Middleton,Forward,6-7,222,1991-08-12,USA,Texas A&M,2012,Khris Middleton,Khris Middleton
341,1629003,Shake,Milton,Guard-Forward,6-5,205,1996-09-26,USA,Southern Methodist,2018,Shake Milton,Shake Milton
342,1631303,Justin,Minaya,Forward,6-7,210,1999-03-26,USA,Providence,2022,Justin Minaya,Justin Minaya
343,1631169,Josh,Minott,Forward,6-8,205,2002-11-25,USA,Memphis,2022,Josh Minott,Josh Minott
344,1630558,Davion,Mitchell,Guard,6-0,202,1998-09-05,USA,Baylor,2021,Davion Mitchell,Davion Mitchell
345,1628378,Donovan,Mitchell,Guard,6-1,215,1996-09-07,USA,Louisville,2017,Donovan Mitchell,Donovan Mitchell
346,1630596,Evan,Mobley,Center,6-11,215,2001-06-18,USA,Southern California,2021,Evan Mobley,Evan Mobley
347,1630600,Isaiah,Mobley,Forward,6-8,238,1999-09-24,USA,Southern California,2022,Isaiah Mobley,Isaiah Mobley
348,1631320,Chima,Moneke,Forward,6-5,223,1995-12-24,Nigeria,Cal-Davis,2022,Chima Moneke,Chuma Okeke
349,1628370,Malik,Monk,Guard,6-3,200,1998-02-04,USA,Kentucky,2017,Malik Monk,Malik Monk
350,1630541,Moses,Moody,Guard,6-5,211,2002-05-31,USA,Arkansas,2021,Moses Moody,Moses Moody
352,1631111,Wendell,Moore Jr.,Guard,6-5,215,2001-09-18,USA,Duke,2022,Wendell Moore Jr.,Wendell Carter Jr.
353,1629630,Ja,Morant,Guard,6-2,174,1999-08-10,USA,Murray State,2019,Ja Morant,Jerami Grant
354,202693,Markieff,Morris,Forward,6-9,245,1989-09-02,USA,Kansas,2011,Markieff Morris,Markieff Morris
355,1628420,Monte,Morris,Guard,6-2,183,1995-06-27,USA,Iowa State,2017,Monte Morris,Markieff Morris
356,202694,Marcus,Morris Sr.,Forward,6-8,218,1989-09-02,USA,Kansas,2011,Marcus Morris Sr.,Marcus Morris
358,1627749,Dejounte,Murray,Guard,6-5,180,1996-09-19,USA,Washington,2016,Dejounte Murray,Dejounte Murray
359,1627750,Jamal,Murray,Guard,6-4,215,1997-02-23,Canada,Kentucky,2016,Jamal Murray,Jamal Murray
360,1631099,Keegan,Murray,Forward,6-8,225,2000-08-19,USA,Iowa,2022,Keegan Murray,Keegan Murray
361,203488,Mike,Muscala,Forward-Center,6-11,240,1991-07-01,USA,Bucknell,2013,Mike Muscala,Mike Muscala
362,1629004,Svi,Mykhailiuk,Guard-Forward,6-7,205,1997-06-10,Ukraine,Kansas,2018,Svi Mykhailiuk,Svi Mykhailiuk
363,1626204,Larry,Nance Jr.,Forward-Center,6-8,245,1993-01-01,USA,Wyoming,2015,Larry Nance Jr.,Larry Nance Jr.
364,1629614,Andrew,Nembhard,Guard-Forward,6-3,191,2000-01-16,Canada,Gonzaga,2022,Andrew Nembhard,Andrew Nembhard
365,1630174,Aaron,Nesmith,Guard-Forward,6-5,215,1999-10-16,USA,Vanderbilt,2020,Aaron Nesmith,Aaron Nesmith
366,203526,Raul,Neto,Guard,6-2,180,1992-05-19,Brazil,Murcia,2013,Raul Neto,Paul George
367,1627777,Georges,Niang,Forward,6-7,230,1993-06-17,USA,Iowa State,2016,Georges Niang,Georges Niang
369,1630192,Zeke,Nnaji,Forward-Center,6-9,240,2001-01-09,USA,Arizona,2020,Zeke Nnaji,Zeke Nnaji
371,1629669,Jaylen,Nowell,Guard,6-4,201,1999-07-09,USA,Washington,2019,Jaylen Nowell,Jaylen Brown
373,1629134,Kendrick,Nunn,Guard,6-3,190,1995-08-03,USA,Oakland,2018,Kendrick Nunn,Kris Dunn
374,203994,Jusuf,Nurkic,Center,7-0,290,1994-08-23,Bosnia and Herzegovina,Cedevita,2014,Jusuf Nurkic,Jusuf Nurkić
375,1629670,Jordan,Nwora,Forward,6-9,225,1998-09-09,USA,Louisville,2020,Jordan Nwora,Jordan Nwora
376,1626220,Royce,O'Neale,Forward,6-6,226,1993-06-05,USA,Baylor,2017,Royce O'Neale,Royce O'Neale
377,1629643,Chuma,Okeke,Forward,6-8,229,1998-08-18,USA,Auburn,2019,Chuma Okeke,Chuma Okeke
378,1629006,Josh,Okogie,Guard,6-4,213,1998-09-01,Nigeria,Georgia Tech,2018,Josh Okogie,Josh Okogie
379,1630168,Onyeka,Okongwu,Forward-Center,6-9,240,2000-12-11,USA,Southern California,2020,Onyeka Okongwu,Onyeka Okongwu
380,1630171,Isaac,Okoro,Forward-Guard,6-5,225,2001-01-26,USA,Auburn,2020,Isaac Okoro,Isaac Okoro
383,203482,Kelly,Olynyk,Forward-Center,6-11,240,1991-04-19,Canada,Gonzaga,2013,Kelly Olynyk,Kelly Olynyk
384,1630647,Eugene,Omoruyi,Forward,6-6,235,1997-02-14,Nigeria,Oregon,2021,Eugene Omoruyi,Eugene Omoruyi
385,1626224,Cedi,Osman,Forward,6-7,230,1995-04-08,Turkey,Anadolu Efes,2015,Cedi Osman,Cedi Osman
386,1626162,Kelly,Oubre Jr.,Forward-Guard,6-6,203,1995-12-09,USA,Kansas,2015,Kelly Oubre Jr.,Kelly Oubre Jr.
387,101108,Chris,Paul,Guard,6-0,175,1985-05-06,USA,Wake Forest,2005,Chris Paul,Chris Paul
388,1626166,Cameron,Payne,Guard,6-1,183,1994-08-08,USA,Murray State,2015,Cameron Payne,Cameron Payne
389,1627780,Gary,Payton II,Guard,6-2,195,1992-12-01,USA,Oregon State,2016,Gary Payton II,Gary Payton II
390,1629033,Theo,Pinson,Guard-Forward,6-7,212,1995-11-05,USA,North Carolina,2018,Theo Pinson,Jerome Robinson
392,203486,Mason,Plumlee,Forward-Center,7-0,254,1990-03-05,USA,Duke,2013,Mason Plumlee,Mason Plumlee
393,1627751,Jakob,Poeltl,Center,7-1,245,1995-10-15,Austria,Utah,2016,Jakob Poeltl,Jakob Poeltl
394,1630197,Aleksej,Pokusevski,Forward,7-0,210,2001-12-26,Serbia,Olympiacos,2020,Aleksej Pokusevski,Aleksej Pokusevski
395,1629673,Jordan,Poole,Guard,6-4,194,1999-06-19,USA,Michigan,2019,Jordan Poole,Jordan Poole
396,1629645,Kevin,Porter Jr.,Guard-Forward,6-4,203,2000-05-04,USA,Southern California,2019,Kevin Porter Jr.,Craig Porter Jr.
397,1629008,Michael,Porter Jr.,Forward,6-10,218,1998-06-29,USA,Missouri,2018,Michael Porter Jr.,Michael Porter Jr.
398,203490,Otto,Porter Jr.,Forward,6-8,198,1993-06-03,USA,Georgetown,2013,Otto Porter Jr.,Otto Porter Jr.
399,1626171,Bobby,Portis,Forward,6-11,250,1995-02-10,USA,Arkansas,2015,Bobby Portis,Bobby Portis
400,204001,Kristaps,Porzingis,Forward-Center,7-3,240,1995-08-02,Latvia,Cajasol Sevilla,2015,Kristaps Porzingis,Kristaps Porziņģis
401,1630695,Micah,Potter,Center,6-8,248,1998-04-06,USA,Wisconsin,2021,Micah Potter,Michael Porter Jr.
402,203939,Dwight,Powell,Forward-Center,6-10,240,1991-07-20,Canada,Stanford,2014,Dwight Powell,Dwight Powell
403,1626181,Norman,Powell,Guard,6-4,215,1993-05-25,USA,UCLA,2015,Norman Powell,Norman Powell
404,1630554,Jason,Preston,Guard,6-3,181,1999-08-10,USA,Ohio,2021,Jason Preston,Jaxson Hayes
405,1630563,Joshua,Primo,Guard,6-6,189,2002-12-24,Canada,Alabama,2021,Joshua Primo,Josh Minott
406,1627752,Taurean,Prince,Forward,6-6,218,1994-03-22,USA,Baylor,2016,Taurean Prince,Taurean Prince
407,1630202,Payton,Pritchard,Guard,6-1,195,1998-01-28,USA,Oregon,2020,Payton Pritchard,Payton Pritchard
409,1629674,Neemias,Queta,Center,7-0,248,1999-07-13,Portugal,Utah State,2021,Neemias Queta,Neemias Queta
410,1630193,Immanuel,Quickley,Guard,6-2,190,1999-06-17,USA,Kentucky,2020,Immanuel Quickley,Immanuel Quickley
411,1631311,Lester,Quinones,Guard,6-4,208,2000-11-16,USA,Memphis,2022,Lester Quinones,Lester Quinones
412,203944,Julius,Randle,Forward-Center,6-8,250,1994-11-29,USA,Kentucky,2014,Julius Randle,Julius Randle
413,1630559,Austin,Reaves,Guard,6-5,197,1998-05-29,USA,Oklahoma,2021,Austin Reaves,Austin Reaves
414,1629629,Cam,Reddish,Forward-Guard,6-7,217,1999-09-01,USA,Duke,2019,Cam Reddish,Cam Reddish
415,1628432,Davon,Reed,Guard,6-5,206,1995-06-11,USA,Miami,2017,Davon Reed,Paul Reed
416,1630194,Paul,Reed,Forward,6-9,210,1999-06-14,USA,DePaul,2020,Paul Reed,Paul Reed
417,1629675,Naz,Reid,Center-Forward,6-9,264,1999-08-26,USA,Louisiana State,2019,Naz Reid,Naz Reid
418,1631197,Jared,Rhoden,Guard,6-6,210,1999-08-27,USA,Seton Hall,2022,Jared Rhoden,Jared Rhoden
419,1630208,Nick,Richards,Center,7-0,245,1997-11-29,Jamaica,Kentucky,2020,Nick Richards,Nick Richards
420,1626196,Josh,Richardson,Guard,6-6,200,1993-09-15,USA,Tennessee,2015,Josh Richardson,Josh Richardson
421,203085,Austin,Rivers,Guard,6-4,200,1992-08-01,USA,Duke,2012,Austin Rivers,Austin Reaves
422,1629130,Duncan,Robinson,Forward,6-7,215,1994-04-22,USA,Michigan,2018,Duncan Robinson,Duncan Robinson
423,1629011,Mitchell,Robinson,Center-Forward,7-0,240,1998-04-01,USA,Western Kentucky,2018,Mitchell Robinson,Mitchell Robinson
424,1631115,Orlando,Robinson,Center,6-10,235,2000-07-10,USA,Fresno State,2022,Orlando Robinson,Orlando Robinson
425,1630526,Jeremiah,Robinson-Earl,Forward,6-8,240,2000-11-03,USA,Villanova,2021,Jeremiah Robinson-Earl,Jeremiah Robinson-Earl
426,1629676,Isaiah,Roby,Forward,6-8,230,1998-02-03,USA,Nebraska,2019,Isaiah Roby,Isaiah Mobley
427,1631223,David,Roddy,Forward,6-4,255,2001-03-27,USA,Colorado State,2022,David Roddy,David Roddy
428,1631157,Ryan,Rollins,Guard,6-3,180,2002-07-03,USA,Toledo,2022,Ryan Rollins,Ryan Rollins
429,201565,Derrick,Rose,Guard,6-3,200,1988-10-04,USA,Memphis,2008,Derrick Rose,Derrick Rose
430,203082,Terrence,Ross,Guard-Forward,6-7,206,1991-02-05,USA,Washington,2012,Terrence Ross,Derrick Rose
431,1626179,Terry,Rozier,Guard,6-1,190,1994-03-17,USA,Louisville,2015,Terry Rozier,Terry Rozier
433,1626156,D'Angelo,Russell,Guard,6-4,193,1996-02-23,USA,Ohio State,2015,D'Angelo Russell,D'Angelo Russell
434,1630346,Matt,Ryan,Forward,6-6,215,1997-04-17,USA,Tennessee-Chattanooga,2021,Matt Ryan,Matt Ryan
435,1627734,Domantas,Sabonis,Forward-Center,7-1,240,1996-05-03,Lithuania,Gonzaga,2016,Domantas Sabonis,Domantas Sabonis
436,1629677,Luka,Samanic,Forward,6-10,227,2000-01-09,Croatia,Union Olimpija,2019,Luka Samanic,Luka Šamanić
437,203967,Dario,Saric,Forward-Center,6-10,225,1994-04-08,Croatia,Anadolu Efes,2014,Dario Saric,Dario Šarić
438,1630846,Olivier,Sarr,Center,6-11,240,1999-02-20,France,Kentucky,2021,Olivier Sarr,Olivier Sarr
439,1630648,Jordan,Schakel,Guard,6-6,200,1998-06-13,USA,San Diego State,2021,Jordan Schakel,Jordan McLaughlin
440,1629678,Admiral,Schofield,Forward,6-5,241,1997-03-30,United Kingdom,Tennessee,2019,Admiral Schofield,Admiral Schofield
441,203471,Dennis,Schroder,Guard,6-1,172,1993-09-15,Germany,Braunschweig,2013,Dennis Schroder,Dennis Schröder
443,1631220,Dereon,Seabron,Guard,6-5,180,2000-05-26,USA,North Carolina State,2022,Dereon Seabron,Dereon Seabron
444,1630578,Alperen,Sengun,Center,6-11,243,2002-07-25,Turkey,Besiktas,2021,Alperen Sengun,Alperen Şengün
445,1629012,Collin,Sexton,Guard,6-2,190,1999-01-04,USA,Alabama,2018,Collin Sexton,Collin Sexton
446,1629013,Landry,Shamet,Guard,6-4,190,1997-03-13,USA,Wichita State,2018,Landry Shamet,Landry Shamet
447,1630549,Day'Ron,Sharpe,Center,6-9,265,2001-11-06,USA,North Carolina,2021,Day'Ron Sharpe,Day'Ron Sharpe
448,1631101,Shaedon,Sharpe,Guard,6-5,200,2003-05-30,Canada,Kentucky,2022,Shaedon Sharpe,Shaedon Sharpe
449,1627783,Pascal,Siakam,Forward,6-8,230,1994-04-02,Cameroon,New Mexico State,2016,Pascal Siakam,Pascal Siakam
450,1629735,Chris,Silva,Forward,6-8,234,1996-09-19,Gabon,South Carolina,2019,Chris Silva,Chris Paul
451,1627732,Ben,Simmons,Guard-Forward,6-10,240,1996-07-20,Australia,Louisiana State,2016,Ben Simmons,Ben Simmons
452,1628424,Kobi,Simmons,Guard,6-5,180,1997-07-04,USA,Arizona,2017,Kobi Simmons,Ben Simmons
454,1629014,Anfernee,Simons,Guard,6-3,181,1999-06-08,USA,Edgewater HS (FL),2018,Anfernee Simons,Anfernee Simons
455,1630579,Jericho,Sims,Center,6-10,250,1998-10-20,USA,Texas,2021,Jericho Sims,Jericho Sims
456,203935,Marcus,Smart,Guard,6-4,220,1994-03-06,USA,Oklahoma State,2014,Marcus Smart,Marcus Smart
457,1630696,Dru,Smith,Guard,6-3,203,1997-12-30,USA,Missouri,2022,Dru Smith,Dru Smith
458,202397,Ish,Smith,Guard,6-0,175,1988-07-05,USA,Wake Forest,2010,Ish Smith,Ish Smith
459,1630188,Jalen,Smith,Forward-Center,6-9,215,2000-03-16,USA,Maryland,2020,Jalen Smith,Jalen Smith
460,1628372,Dennis,Smith Jr.,Guard,6-2,205,1997-11-25,USA,North Carolina State,2017,Dennis Smith Jr.,Dennis Smith Jr.
461,1631095,Jabari,Smith Jr.,Forward,6-11,220,2003-05-13,USA,Auburn,2022,Jabari Smith Jr.,Jabari Smith Jr.
463,1631110,Jeremy,Sochan,Forward,6-8,230,2003-05-20,Poland,Baylor,2022,Jeremy Sochan,Jeremy Sochan
464,1630531,Jaden,Springer,Guard,6-4,202,2002-09-25,USA,Tennessee,2021,Jaden Springer,Jaden Springer
465,1630205,Lamar,Stevens,Forward,6-6,230,1997-07-09,USA,Penn State,2020,Lamar Stevens,Lamar Stevens
466,1630191,Isaiah,Stewart,Forward-Center,6-8,250,2001-05-22,USA,Washington,2020,Isaiah Stewart,Isaiah Stewart
467,1629622,Max,Strus,Guard-Forward,6-5,215,1996-03-28,USA,DePaul,2019,Max Strus,Max Strus
468,1630591,Jalen,Suggs,Guard,6-5,205,2001-06-03,USA,Gonzaga,2021,Jalen Suggs,Jalen Suggs
470,1631306,Cole,Swider,Forward,6-9,220,1999-05-08,USA,Syracuse,2022,Cole Swider,Cole Swider
471,1630256,Jae'Sean,Tate,Forward,6-5,230,1995-10-28,USA,Ohio State,2020,Jae'Sean Tate,Jae'Sean Tate
472,1628369,Jayson,Tatum,Forward-Guard,6-8,210,1998-03-03,USA,Duke,2017,Jayson Tatum,Jayson Tatum
473,1630678,Terry,Taylor,Forward,6-4,230,1999-09-23,USA,Austin Peay,2021,Terry Taylor,Terry Taylor
474,202066,Garrett,Temple,Guard-Forward,6-6,195,1986-05-08,USA,Louisiana State,2009,Garrett Temple,Garrett Temple
475,1631207,Dalen,Terry,Forward,6-7,195,2002-07-12,USA,Arizona,2022,Dalen Terry,Dalen Terry
476,1628464,Daniel,Theis,Forward-Center,6-8,245,1992-04-04,Germany,Brose Bamberg,2017,Daniel Theis,Daniel Theis
477,1630560,Cam,Thomas,Guard,6-3,210,2001-10-13,Japan,Louisiana State,2021,Cam Thomas,Cam Thomas
478,202691,Klay,Thompson,Guard,6-6,220,1990-02-08,USA,Washington State,2011,Klay Thompson,Klay Thompson
479,202684,Tristan,Thompson,Center-Forward,6-9,254,1991-03-13,Canada,Texas-Austin,2011,Tristan Thompson,Tristan Thompson
480,1630550,JT,Thor,Forward,6-9,203,2002-08-26,USA,Auburn,2021,JT Thor,JT Thor
481,1629680,Matisse,Thybulle,Guard-Forward,6-5,201,1997-03-04,USA,Washington,2019,Matisse Thybulle,Matisse Thybulle
482,1630214,Xavier,Tillman,Forward,6-7,245,1999-01-12,USA,Michigan State,2020,Xavier Tillman,Xavier Tillman Sr.
483,1630225,Isaiah,Todd,Forward,6-9,219,2001-10-17,USA,NBA G League Ignite,2021,Isaiah Todd,Isaiah Joe
484,1630167,Obi,Toppin,Forward,6-9,220,1998-03-04,USA,Dayton,2020,Obi Toppin,Obi Toppin
486,1626157,Karl-Anthony,Towns,Center-Forward,7-0,248,1995-11-15,USA,Kentucky,2015,Karl-Anthony Towns,Karl-Anthony Towns
487,1629018,Gary,Trent Jr.,Guard-Forward,6-5,209,1999-01-18,USA,Duke,2018,Gary Trent Jr.,Gary Trent Jr.
488,200782,P.J.,Tucker,Forward,6-5,245,1985-05-05,USA,Texas,2006,P.J. Tucker,P.J. Tucker
489,1626167,Myles,Turner,Center-Forward,6-11,250,1996-03-24,USA,Texas,2015,Myles Turner,Myles Turner
490,1630649,Stanley,Umude,Guard,6-6,210,1999-04-12,USA,Arkansas,2022,Stanley Umude,Stanley Umude
491,202685,Jonas,Valanciunas,Center,6-11,265,1992-05-06,Lithuania,Lietuvos rytas Vilnius,2011,Jonas Valanciunas,Jonas Valančiūnas
492,1627832,Fred,VanVleet,Guard,6-0,197,1994-02-25,USA,Wichita State,2016,Fred VanVleet,Fred VanVleet
493,1629020,Jarred,Vanderbilt,Forward,6-8,214,1999-04-03,USA,Kentucky,2018,Jarred Vanderbilt,Fred VanVleet
494,1630170,Devin,Vassell,Guard-Forward,6-5,200,2000-08-23,USA,Florida State,2020,Devin Vassell,Devin Vassell
495,1629216,Gabe,Vincent,Guard,6-2,200,1996-06-14,USA,California-Santa Barbara,2019,Gabe Vincent,Gabe Vincent
497,202696,Nikola,Vucevic,Center,6-10,260,1990-10-24,Montenegro,Southern California,2011,Nikola Vucevic,Nikola Vučević
498,1629731,Dean,Wade,Forward-Center,6-9,228,1996-11-20,USA,Kansas State,2019,Dean Wade,Dean Wade
499,1630532,Franz,Wagner,Forward,6-10,220,2001-08-27,Germany,Michigan,2021,Franz Wagner,Franz Wagner
500,1629021,Moritz,Wagner,Forward-Center,6-11,245,1997-04-26,Germany,Michigan,2018,Moritz Wagner,Moritz Wagner
501,1630688,Ish,Wainright,Forward,6-5,250,1994-09-12,USA,Baylor,2021,Ish Wainright,Ish Wainright
